,Date,Total,MR,PW,PW+,Lief,Lief+,Lief+Aufl.,LW,LW+,Sattelzug,Bus,andere,Station Count,Number of Measurments
124,04.08.2020,341236,11178,289082,333,26591,410,185,5889,796,2581,3654,537,30,1512
125,04.08.2021,336801,10398,284422,412,27179,476,186,5983,721,2788,4018,218,30,1512
126,04.09.2019,379904,19250,313209,411,30268,476,254,7015,1047,3357,4085,532,30,1536
127,04.09.2020,365967,18417,304646,459,28123,502,221,6174,835,2500,3813,277,30,1536
128,04.09.2021,330591,12977,294748,573,15345,222,39,1774,300,646,3748,219,30,1512
129,04.10.2019,400852,9700,342912,375,31260,448,212,6855,922,3123,4679,366,30,1536
130,04.10.2020,225985,6427,208039,183,7855,81,15,494,107,153,2521,110,30,1536
131,04.10.2021,341536,8263,287752,302,29828,487,219,6503,882,3169,3890,241,30,1512
132,04.11.2019,394238,11352,333091,305,32279,532,201,7298,960,3299,4552,369,30,1584
133,04.11.2020,319717,9760,265333,292,29200,510,169,6386,1021,3151,3614,281,30,1536
134,04.12.2019,406168,9710,345676,359,33040,474,227,7049,1037,3628,4604,364,30,1584
135,04.12.2020,336414,6504,286207,256,28714,448,222,6276,954,2951,3653,229,30,1536
136,05.01.2019,304488,3364,283261,178,11219,103,40,1457,179,605,3862,220,30,1608
137,05.01.2020,238033,3493,221934,122,8311,70,14,463,91,164,3210,161,30,1584
138,05.01.2021,273062,6860,232518,238,21776,300,128,4532,606,2299,3664,141,30,1536
139,05.02.2019,400488,8475,343089,286,31448,473,191,7487,925,3285,4351,478,30,1608
140,05.02.2020,388015,9805,330932,214,30801,389,212,6697,955,3320,4334,356,30,1584
141,05.02.2021,309299,8216,258530,311,27684,444,195,6064,874,2914,3928,139,30,1512
142,05.03.2019,383553,10066,325687,301,30485,469,175,7400,898,3345,4337,390,30,1584
143,05.03.2020,362689,6538,311804,213,28605,420,204,6252,873,3264,4301,215,30,1584
144,05.03.2021,322160,7563,271338,288,28333,409,163,6109,786,3003,3965,203,30,1512
145,05.04.2019,440573,11607,376435,425,32756,544,280,8061,1188,3559,5331,387,30,1584
146,05.04.2020,103733,6107,90945,41,3638,20,6,268,26,179,2461,42,30,1584
147,05.04.2021,178475,4552,163272,137,6850,47,10,597,132,289,2494,95,30,1512
148,05.05.2019,267231,4891,247415,250,9551,109,29,667,334,284,3541,160,30,1536
149,05.05.2020,252723,7803,206726,251,24831,451,182,5919,698,2956,2759,147,30,1512
150,05.05.2021,345079,10330,288139,284,30050,551,193,6995,919,3620,3786,212,30,1536
151,05.06.2019,405731,19356,335376,465,32677,572,211,7730,1100,3878,3973,393,30,1536
152,05.06.2020,310562,10442,258023,282,27316,383,161,6634,798,2660,3575,288,30,1512
153,05.06.2021,317934,7762,289374,317,14359,151,23,1451,240,675,3465,117,30,1536
154,05.07.2019,400298,19408,331325,595,32079,641,212,7506,1087,3129,3904,412,30,1560
155,05.07.2020,214536,9276,194252,247,7690,116,8,466,129,130,2101,121,30,1512
156,05.07.2021,362082,12182,303210,380,30386,515,207,6922,885,3257,3939,199,30,1536
157,05.08.2019,352825,17542,289588,530,29505,457,243,6839,916,2881,3883,441,30,1560
158,05.08.2020,344384,16974,286141,367,26730,454,180,6085,841,2627,3616,369,30,1512
159,05.08.2021,343654,11206,289861,428,27672,470,173,5784,728,2967,4014,351,30,1512
160,05.09.2019,388832,15416,325947,391,30707,481,214,6827,931,3241,4214,463,30,1536
161,05.09.2020,301665,12225,270256,406,12827,184,30,1361,310,663,3206,197,30,1536
162,05.09.2021,264062,10546,238330,394,10497,144,25,702,201,178,2879,166,30,1512
163,05.10.2019,316193,6622,287631,392,14025,176,46,1467,327,789,4448,270,30,1536
164,05.10.2020,337124,9668,284053,412,28388,462,209,5963,880,3132,3731,226,30,1536
165,05.10.2021,347508,9621,291589,317,29728,541,223,6892,990,3509,3898,200,30,1512
166,05.11.2019,397813,11460,335396,303,33099,551,236,7289,958,3672,4442,407,30,1584
167,05.11.2020,325546,11186,269956,282,29090,500,199,6419,909,3185,3540,280,30,1536
168,05.12.2019,419265,9399,358314,337,33584,452,196,7285,1039,3487,4806,366,30,1584
