,Datum,Lufttemperatur,Regen in 1 h,Regen in 24 h,Regen in 48 h,Anzahl Stationen,Anzahl Messungen
249,2020-12-22,12.308784989429178,0.03058491895701207,2.0611698379140204,2.55031712473572,133,2838
250,2020-12-23,10.927157261698463,0.04734835355285961,0.708145580589261,2.7053726169843966,128,2885
251,2020-12-24,8.546034519056246,0.04377495462794937,2.5996370235934614,3.302794918330303,124,2755
252,2020-12-25,2.828164495720132,0.027912169705991887,1.8970599181243017,4.470189802754003,120,2687
253,2020-12-26,0.8176154131159691,0.0009633197480548353,0.2454242311967407,2.0676546869210792,122,2699
254,2020-12-27,1.0296248180494894,0.18719068413391549,0.6367540029112086,0.8675400291120834,121,2748
255,2020-12-28,5.008902466863038,0.30758468335788125,13.214432989690703,14.029381443298943,121,2716
256,2020-12-29,4.970872036474166,0.059194528875379904,3.317781155015209,17.042249240121553,118,2632
257,2020-12-30,2.9357199180938167,0.024497393894266636,1.7030528667163067,5.036783320923299,117,2686
258,2020-12-31,2.370691531802789,0.05946556266465941,0.765148663906663,2.4856605193827495,116,2657
259,2021-01-01,2.6371588483685175,0.07523992322456777,4.41297504798464,5.2381573896352975,114,2605
260,2021-01-02,1.9845287284144402,0.0016483516483516484,0.2905023547880718,4.7458398744113,109,2548
261,2021-01-03,0.8701216400000016,0.0028800000000000006,0.06832000000000003,0.36128000000000193,106,2500
262,2021-01-04,1.1301595011876489,0.005700712589073635,0.08432304038004727,0.15542359461599312,110,2526
263,2021-01-05,0.8618632382482921,0.011731619124146242,0.9062274005624752,0.9954198473282437,108,2489
264,2021-01-06,0.6143047383601147,0.014585908529048197,0.6101359703337481,1.5689328388957517,105,2427
265,2021-01-07,1.7516462296486714,0.02682090831191094,1.0520137103684686,1.6745501285347026,102,2334
266,2021-01-08,1.1005637626262645,0.0033670033670033677,0.5280303030303043,1.5688552188552145,109,2376
267,2021-01-09,-1.5597790050920535,0.01018409714061888,0.2022718370544453,0.6772424598511575,116,2553
268,2021-01-10,-1.453814704776233,0.002106054907860098,0.15990974050394877,0.3486273034975566,115,2659
269,2021-01-11,-2.0684707408800254,0.0011282437006393381,0.07822489657766077,0.22655133508837888,117,2659
270,2021-01-12,0.9793528209011744,0.057175312381673504,0.7475198788337748,0.8243847027641042,115,2641
271,2021-01-13,4.059771482745544,0.024800910125142274,1.6914675767918035,2.473947667804326,114,2637
272,2021-01-14,2.9100726291441776,0.23207401696222152,5.904394757131847,7.479182729375482,116,2594
273,2021-01-15,-0.1581926294820712,0.08406374501991945,6.666374501992027,12.68135458167331,109,2510
274,2021-01-16,-2.5281963359407187,0.0013997529847673941,0.9212844792095402,7.690078221490343,107,2429
275,2021-01-17,0.2732303433476418,0.32386266094420657,2.7103862660944196,3.6503004291845467,102,2330
276,2021-01-18,2.164151736111104,0.21657986111110925,14.416666666666657,17.34878472222219,102,2304
277,2021-01-19,0.8415569303054036,0.05043069694596726,3.2731401722787665,16.37306186374314,121,2554
278,2021-01-20,3.083110399999995,0.019127272727272753,1.2473454545454505,4.268727272727272,125,2750
279,2021-01-21,9.864255094071698,0.05828895988640399,1.3023784167554127,2.4816471423500075,131,2817
280,2021-01-22,9.386988217967598,0.21229749631811437,3.1712812960235524,4.278939617083928,126,2716
281,2021-01-23,3.5810623893805267,0.1794985250737455,8.822713864306756,12.0603244837758,123,2712
282,2021-01-24,2.352518201284794,0.02912205567451823,3.156316916488224,11.853533190578203,128,2802
283,2021-01-25,1.7117864568599728,0.05113154172560122,0.9483026874115961,4.170509193776529,123,2828
284,2021-01-26,2.233128961538466,0.0033846153846153857,0.8637692307692277,1.8127692307692276,122,2600
